Artist,Year,Track
Duncan,2019,Too Deep
Duncan,2019,Misty Mountains
Duncan,2019,Light Up The Sky
KEiiNO,2019,Spirit In The Sky
KEiiNO,2019,MONUMENT
KEiiNO,2019,UNBREAKABLE
MARUV,2019,Drunk Groove
MARUV,2019,Siren Song
MARUV,2019,Focus On Me
Tamta,2019,Replay
Tamta,2019,With Love
Tamta,2019,Yala
Kate Miller-Heidke,2019,The Last Day on Earth
Kate Miller-Heidke,2019,Caught In The Crowd
Kate Miller-Heidke,2019,Sarah
Barbara Pravi,2021,Voilà
Barbara Pravi,2021,Louis
Barbara Pravi,2021,Prière aux rêves
Mäneskin,2021,Beggin'
Mäneskin,2021,I WANNA BE YOUR SLAVE
Mäneskin,2021,Chosen
Efendi,2021,Mata Hari
Efendi,2021,Cleopatra
Efendi,2021,Mata Hari - slow version
Tusse,2021,Voices
Tusse,2021,"I Wanna Be Someone Who's Loved - from the Netflix Series ""Young Royals"""
Tusse,2021,Rain
THE ROOP,2021,Discoteque
THE ROOP,2021,On Fire
THE ROOP,2021,Ohmygodable
Mahmood,2022,Soldi
Mahmood,2022,Brividi
Mahmood,2022,Tuta gold
LUM!X,2022,Monster
LUM!X,2022,Monster - Robin Schulz Remix
LUM!X,2022,Halo (feat. Pia Maria)
S10,2022,De Diepte
S10,2022,Nooit Meer Spijt
S10,2022,Adem Je In
MARO,2022,Still Feel It All
MARO,2022,"saudade, saudade"
MARO,2022,we've been loving in silence
Subwoolfer,2022,Give That Wolf A Banana
Subwoolfer,2022,Melocoton (The Donka Donk Song)
Subwoolfer,2022,Give That Wolf A Romantic Banana
Loreen,2023,Euphoria
Loreen,2023,Tattoo
Loreen,2023,My Heart Is Refusing Me
Alessandra,2023,Queen of Kings
Alessandra,2023,Pretty Devil
Alessandra,2023,Queen of Kings - Da Tweekaz x Tungevaag Remix
Käärijä,2023,Cha Cha Cha
Käärijä,2023,TRAFIK!
Käärijä,2023,It's Crazy It's Party (feat. Tommy Cash)
Marco Mengoni,2023,Due vite
Marco Mengoni,2023,L'essenziale
Marco Mengoni,2023,Ti Ho Voluto Bene Veramente
BLANKA,2023,Solo
BLANKA,2023,Rodeo
BLANKA,2023,Boys Like Toys
Joost,2024,Europapa
Joost,2024,Ome Robert
Joost,2024,Luchtballon
Nemo,2024,The Code
Nemo,2024,Eurostar
Nemo,2024,Darkest Day
Slimane,2024,Mon Amour
Slimane,2024,Des Milliers De Je T'aime
Slimane,2024,Viens on s’aime
Angelina Mango,2024,La noia
Angelina Mango,2024,Ci pensiamo domani
Angelina Mango,2024,melodrama
Baby Lasagna,2024,Rim Tim Tagi Dim
Baby Lasagna,2024,"Don’t hate yourself, but don’t love yourself too much"
Baby Lasagna,2024,IG BOY
